<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
B001_HKT721_A1_Marathon_F1	32.329655	-4.69016	-27.628656	-1.8554708	-14.51746
B003_HKT721_A2_Diplomat_F1	29.2271	-9.749881	-6.3479214	-1.6921675	-10.08608
B004_HKT721_A3_DuraPak19_F1	30.559488	-4.383057	-17.760246	-1.8345754	-13.294771
B005_HKT721_A4_USVL_048_IBL	32.02925	-3.6231225	-37.0567	-3.170582	-11.641337
B006_HKT721_A5_USVL_131_IBL	30.600025	-6.798561	-22.863987	-1.5811278	11.08699
B011_HKT721_A6_Gypsy_F1	29.58544	-5.859913	-14.938403	1.0338192	-7.25122
B013_HKT721_A7_Lieutenant_F1	33.044384	-7.4778757	-16.578354	-1.0016693	-0.6430101
B014_HKT721_A8_Green_Magic_F1	28.409712	-4.9621444	-15.666375	0.40166926	-6.30853
B015_HKT723_F1_Brogan_F1	28.336779	-4.7329006	-21.002409	-1.649201	-7.0868692
B016_CB5UE6_B11_Green_Harmony_F1	12.09184	19.816652	4.454354	0.847136	19.366928
B017_HKT721_A9_Major_F1	21.39403	-0.713764	4.131957	-1.0272897	6.341392
B021_HKT721_A10_Liberty_F1	31.66049	-3.6251812	-36.634197	-3.4321752	-11.778634
B032_CB5UE6_F1_TO1000_DH	-24.222118	18.52609	-1.6902008	-8.179087	-2.4238486
B047_HKT721_A11_Packman_F1	24.89334	-7.462044	10.705151	0.51406217	10.572491
B054_CB5UE6_E7_De_Cicco_OP	-8.375456	16.974846	4.674645	-8.875514	2.314544
B055_CB5UE6_E8_Costal_OP	-4.977973	42.015995	-5.496765	-1.6420649	10.41197
B093_HKT721_B1_Cavolo_Broccolo_Tardivo_OP	9.04744	0.81389	15.103492	1.1662285	-12.430368
B094_HKT721_B2_Cavolo_Broccolo_Di_Sarno_OP	-23.157076	2.7095003	3.3388233	5.049022	-13.395057
B095_HKT721_B3_Verde_Calabrese_Precoce_OP	17.350561	-2.883904	11.705129	-1.2956879	-18.092806
B096_HKT721_B4_Ramoso_Grande_Precoce_OP	16.01642	-5.6245623	21.785658	-0.51003224	-9.044479
B097_HKT721_B5_Ramoso_Calabrese_OP	15.043614	-5.5553174	20.286697	-0.3877007	-10.820471
B098_HKT721_B6_Cavolo_Broccolo_Natalina_OP	-8.68353	47.5313	-6.66275	2.0814307	5.460299
B099_HKT721_B7_Cavolo_Broccolo_Frevarota_OP	-9.64903	48.83805	-8.228854	0.6629213	6.3832116
B100_HKT721_B8_Cavolo_Broccolo_Marzullo_OP	-9.614521	48.45958	-7.2568135	1.0042481	6.355443
B101_HKT721_B9_Cavolo_Broccolo_Invernale_Type_A_OP	-22.188341	18.774992	4.753137	7.875353	-10.050819
B102_HKT721_B10_Ramoso_Calabrese_OP	16.398964	-2.8953838	11.722154	-1.3851256	-18.83944
B103_HKT721_B11_Broccolo_Verde_Di_Calabria_Precocissimo_OP	2.9700794	-1.2200174	15.880211	2.1431723	-14.058591
B104_HKT721_B12_Cavolo_Zolfino_OP	-20.445765	12.101891	-0.6970495	0.45846024	-4.1809454
B105_HKT721_C1_Precoce_Di_Calabria_Tipo_Esportazione_OP	3.2342873	-0.64596593	18.596615	2.2315502	-12.8995285
B106_HKT721_C2_Picolini_Di_Palermo_OP	-21.211477	18.06356	4.4934916	11.338344	-5.126665
B107_HKT721_C3_Ramoso_Calabria_Mezzo_Precoce_OP	5.3218455	6.755631	10.324383	1.7351567	-19.371311
B108_HKT721_C4_Verde_Calabrese_OP	19.106258	-1.2397873	7.3663015	-0.26060468	-14.436258
B109_HKT721_C5_Ramoso_Calabrese_Verde_OP	18.537397	-2.540299	9.425517	-1.745877	-18.165066
B110_HKT721_C6_Verde_Calabrese_OP	5.11303	-1.1598595	14.532088	1.5370984	-14.266765
B111_HKT721_C7_Natalino_Di_Napoli_OP	-25.590448	2.4434936	4.9913645	6.463325	-13.912705
B112_HKT721_C8_Cavolo_Broccolo_Settembrina_OP	-10.645341	49.680466	-6.646971	0.38513875	5.0511684
B113_HKT721_C9_Broccolo_Innorota_gennorota_OP	-12.969009	44.39332	-5.293102	2.6266518	4.612748
B114_HKT721_C10_Cavolo_Broccolo_OP	-21.55566	17.684887	4.382313	12.988527	-8.960313
B115_HKT721_C11_Broccolo_Ramoso_Di_Calabria_OP	8.606088	2.5140843	15.697601	-1.6005734	-14.930289
B116_HKT721_C12_Broccolo_OP	-25.684925	0.7957263	6.1342616	3.140049	-4.9249916
B117_HKT721_D1_Natalisa_Ciurietti_OP	-10.709986	32.44623	-4.579231	1.7386568	6.6683936
B118_HKT721_D2_Broccolo_D_estate_OP	-16.280025	27.47535	1.8313885	11.0699005	-2.4101007
B119_HKT721_D3_Broccolo_Natalino_OP	-19.59156	21.735992	6.465089	9.271073	-6.3305273
B120_HKT721_D4_Broccolo_Apriloto_OP	-16.782614	29.312199	1.7850815	9.00839	-5.3209085
B121_HKT721_D5_Maialora_OP	-10.986378	34.085884	-3.1162088	2.9445667	6.2704577
B122_HKT721_D6_Ramoso_Calabrese_OP	8.176919	3.752755	15.77934	-0.021175848	-12.357531
B123_HKT721_D7_Ramoso_Calabrese_OP	15.905432	-2.5585659	21.2757	-1.9972035	-9.792718
B124_HKT721_D8_Ramoso_Calabrese_Precoce_OP	18.295244	-2.3209896	22.814838	-2.0996258	-5.0727286
B125_HKT721_D9_Ramoso_Atlantic_Local_OP	17.487362	-3.6031725	23.36383	-1.8017303	-10.139004
B126_HKT721_D10_Ramoso_Calabrese_OP	16.811346	-6.4041133	19.118351	-0.4258715	-5.5893097
B127_HKT721_D11_Ramoso_Calabrese_Precoce_OP	-21.72382	4.5248537	3.4596708	5.9956694	-12.644235
B128_HKT721_D12_Broccolo_Natalino_Di_Sarno_OP	-20.447779	3.3803022	2.896749	6.931145	-12.53564
B129_HKT721_E1_Ramoso_Calabria_Tardivo_OP	4.4581676	3.4074786	12.704962	1.7910582	-19.30615
B130_HKT721_E2_Cavolo_Broccolo_Agostina_OP	-9.3259115	48.177845	-5.863775	1.8364624	5.8421035
B131_HKT721_E3_Broccolo_Verde_Di_Calabria_Tardivo_OP	4.3217034	3.609134	13.042674	0.11597686	-18.631971
B132_HKT721_E4_Precoce_Di_Calabria_OP	8.1736555	1.4416088	15.048515	1.6882359	-9.824522
B133_HKT721_E5_Ramoso_Calabrese_OP	19.732527	-1.7977076	2.8132136	0.09750033	-21.148003
B134_HKT721_E6_Cavolo_Sparacello_OP	-20.975914	15.604327	4.192782	10.992933	-8.315269
B135_HKT721_E7_N_tagliu_N_tagghiv_Pilotu_OP	-16.983585	30.010422	4.097494	9.202692	-7.2936172
B136_HKT721_E8_Ramoso_Calabrese_Verde_OP	18.446867	-6.526321	11.339133	5.029744	-5.2081504
B137_HKT721_E9_Ramoso_Calabrese_Precoce_OP	16.777636	-2.0081863	24.272095	-3.4343126	-9.84492
B138_HKT721_E10_Broccolo_No_1_OP	-26.337664	1.1612071	7.6863165	4.906439	-6.6103673
B139_HKT721_E11_Di_Sicilia_Catanese_OP	-8.407651	39.94287	-7.8698416	-0.54071325	3.7466621
B141_HKT721_F1_BH028_F1	20.771557	-3.0607963	13.854615	-9.367952E-4	10.545087
B142_HKT721_F2_BH034_F1	23.865978	-8.882268	6.1357327	-2.5065007	14.761721
B143_HKT721_F3_BH027_F1	20.908686	-8.058992	10.634859	-0.16291443	22.464827
B144_HKT721_F4_BC1691_F1	30.549656	-4.332029	-25.243692	-1.9326094	-6.140956
B145_HKT721_G6_BC1764_F1	29.85088	-5.220305	-18.302475	-1.1203842	-4.32185
B146_HKT721_F6_Montvert_F1	29.19843	-9.970819	-5.740528	1.0341561	9.710957
B147_HKT721_F7_DuraPak_16_F1	31.393955	-3.8275356	-19.356356	-2.2516057	-13.482846
B148_HKT721_F8_Burney_F1	28.186497	-10.97434	-12.13919	4.337127	3.0727813
B150_HKT721_F10_Eastern_Crown_F1	25.547873	-7.8280277	-7.478988	-1.7136042	-7.0227275
B151_HKT721_F11_Imperial_F1	27.896381	-8.678585	-1.2471645	-2.489114	-4.36753
B152_HKT721_F12_Emerald_Crown_F1	25.8449	-3.02741	-10.327768	-0.24519685	-0.8058515
B153_HKT721_G1_Everest_F1	29.034296	-7.6931887	-2.4733734	1.1656685	13.781547
B154_HKT721_G2_BH019_F1	23.079962	-8.996779	15.109193	2.5488825	22.66067
B155_HKT721_G3_BH020_F1	29.553926	-4.483743	-11.742672	0.97140276	3.7061815
B156_HKT721_G4_BH026_F1	25.443998	-6.3557158	10.1281595	0.53191113	17.163488
B159_HKT721_G7_BH044_F1	25.109882	-7.160423	7.484681	1.8024634	24.67828
