PC	eigenvalue	proportion of total	cumulative proportion
0	729.93561	0.14553	0.14553
1	240.56161	0.04796	0.19349
2	154.51613	0.03081	0.2243
3	118.21877	0.02357	0.24787
4	110.12396	0.02196	0.26982
5	92.01492	0.01835	0.28817
6	86.44833	0.01724	0.3054
7	77.3778	0.01543	0.32083
8	74.68705	0.01489	0.33572
9	72.65235	0.01448	0.35021
10	64.89549	0.01294	0.36314
11	64.03111	0.01277	0.37591
12	61.07724	0.01218	0.38809
13	59.28226	0.01182	0.39991
14	57.78463	0.01152	0.41143
15	55.56045	0.01108	0.42251
16	52.0877	0.01038	0.43289
17	49.76817	0.00992	0.44281
18	48.50933	0.00967	0.45248
19	46.68899	0.00931	0.46179
20	44.71127	0.00891	0.47071
21	44.16303	0.0088	0.47951
22	42.3742	0.00845	0.48796
23	40.35816	0.00805	0.49601
24	39.16271	0.00781	0.50381
25	37.89387	0.00756	0.51137
26	37.58807	0.00749	0.51886
27	35.44134	0.00707	0.52593
28	34.79915	0.00694	0.53287
29	33.52425	0.00668	0.53955
30	32.22375	0.00642	0.54598
31	32.17835	0.00642	0.55239
32	31.07177	0.00619	0.55859
33	30.85421	0.00615	0.56474
34	30.34501	0.00605	0.57079
35	29.01186	0.00578	0.57657
36	28.78421	0.00574	0.58231
37	27.92831	0.00557	0.58788
38	27.34207	0.00545	0.59333
39	26.80899	0.00534	0.59867
40	26.29443	0.00524	0.60392
41	25.65262	0.00511	0.60903
42	3.75689	7.4902E-4	0.60978
43	24.97699	0.00498	0.61476
44	4.1587	8.2913E-4	0.61559
45	4.39707	8.7666E-4	0.61647
46	24.35846	0.00486	0.62132
47	24.32444	0.00485	0.62617
48	24.13511	0.00481	0.63098
49	23.92801	0.00477	0.63575
50	23.58529	0.0047	0.64046
51	23.42317	0.00467	0.64513
52	5.0861	0.00101	0.64614
53	22.86858	0.00456	0.6507
54	22.5379	0.00449	0.65519
55	22.34141	0.00445	0.65965
56	21.91849	0.00437	0.66402
57	21.75074	0.00434	0.66835
58	21.62286	0.00431	0.67267
59	6.24345	0.00124	0.67391
60	21.28135	0.00424	0.67815
61	21.13581	0.00421	0.68237
62	21.01995	0.00419	0.68656
63	20.80971	0.00415	0.69071
64	6.48827	0.00129	0.692
65	6.54115	0.0013	0.6933
66	6.69887	0.00134	0.69464
67	6.84638	0.00136	0.69601
68	6.9649	0.00139	0.69739
69	7.08523	0.00141	0.69881
70	7.13362	0.00142	0.70023
71	20.42689	0.00407	0.7043
72	7.31007	0.00146	0.70576
73	7.47543	0.00149	0.70725
74	20.07469	0.004	0.71125
75	19.95705	0.00398	0.71523
76	7.80709	0.00156	0.71679
77	19.76006	0.00394	0.72073
78	19.74433	0.00394	0.72466
79	19.56412	0.0039	0.72856
80	7.93138	0.00158	0.73014
81	7.96565	0.00159	0.73173
82	8.09284	0.00161	0.73335
83	19.39736	0.00387	0.73721
84	8.23332	0.00164	0.73886
85	19.26262	0.00384	0.7427
86	19.17328	0.00382	0.74652
87	8.47249	0.00169	0.74821
88	8.51132	0.0017	0.7499
89	19.01163	0.00379	0.75369
90	18.84618	0.00376	0.75745
91	18.75495	0.00374	0.76119
92	8.68157	0.00173	0.76292
93	18.63799	0.00372	0.76664
94	18.4655	0.00368	0.77032
95	18.38338	0.00367	0.77399
96	18.25671	0.00364	0.77763
97	8.92698	0.00178	0.7794
98	18.14751	0.00362	0.78302
99	17.96737	0.00358	0.78661
100	17.80749	0.00355	0.79016
101	17.75785	0.00354	0.7937
