taxa	labels	group00	color00	n00
W003_W003_WT	B_insularis	Wild	#fd00fe	1
W002_W002_WT	B_macrocarpa	Wild	#fd00fe	1
W004_W004_WT	B_cretica	Wild	#fd00fe	1
W005_W005_WT	B_incana_02	Wild	#fd00fe	1
W006_W006_WT	B_incana_03	Wild	#fd00fe	1
W001_W001_WT_A	B_incana_01	Wild	#fd00fe	1
B234_Dwarf_Curled_OP_Kale	Dwarf_Curled_OP_Kale	Kale	#528efb	2
H001_Darkibor_F1	Darkibor_F1	Kale	#528efb	2
H053_Redbore_F1.1	Redbore_F1	Kale	#528efb	2
H014_BalticRed_OP	BalticRed_OP	Kale	#528efb	2
H015_CurlyRoja_OP	CurlyRoja_OP	Kale	#528efb	2
H056_Roja_Curly_Kale	Roja_Curly_Kale	Kale	#528efb	2
H013_Redbor_F1	Redbor_F1	Kale	#528efb	2
H052_Redbore_F1	Redbore_F1	Kale	#528efb	2
H017_Falstaf_OP	Falstaf_OP	Brussels_sprouts	#ade64f	3
H016_Rubine_OP	Rubine_OP	Brussels_sprouts	#ade64f	3
H046_Red_Bull_B_Sprouts	Red_Bull_B_Sprouts	Brussels_sprouts	#ade64f	3
H018_Redbull_OP	Redbull_OP	Brussels_sprouts	#ade64f	3
B235_Bedfordshire_Group_UNK	Bedfordshire_Group_UNK	Brussels_sprouts	#ade64f	3
B232_Jade_Cross_Brussels_Sprouts_F1	Jade_Cross_Brussels_Sprouts_F1	Brussels_sprouts	#ade64f	3
B330_AC498_Gower_GK20311b_DH	AC498_Gower_GK20311b_DH	Brussels_sprouts	#ade64f	3
H009_Diablo_F1	Diablo_F1	Brussels_sprouts	#ade64f	3
H048_Diablo_F1.1	Diablo_F1	Brussels_sprouts	#ade64f	3
H084_SafariSeeds_ThousandHead	SafariSeeds_ThousandHead	African_kale	#5648d3	4
H086_SeedCo_SouthernGeorgia	SeedCo_SouthernGeorgia	African_kale	#5648d3	4
H081_Simlaw_Collard_UNK	Simlaw_Collard_UNK	Collard	#27b378	5
H082_EASeed_Collard	EASeed_Collard	Collard	#27b378	5
H005_TopBunch_F1	TopBunch_F1	Collard	#27b378	5
H083_Gromost_GeorgiaCollards	Gromost_GeorgiaCollards	Collard	#27b378	5
H079_Champion_S2	Champion_S2	Collard	#27b378	5
H006_Champion_OP	Champion_OP	Collard	#27b378	5
B233_Golden_Acre_OP_cabbage	Golden_Acre_OP_cabbage	Collard	#27b378	5
H020_G30902_IBL	G30902_IBL	Collard	#27b378	5
H021_RedExpress_OP	RedExpress_OP	Collard	#27b378	5
H019_Futurima_F1	Futurima_F1	Collard	#27b378	5
H085_Syova_Mfalme_OP	Syova_Mfalme_OP	Tuscan_kale	#9e2226	6
H004_NerodiToscano_OP	NerodiToscano_OP	Tuscan_kale	#9e2226	6
H010_BlackMagic	BlackMagic	Tuscan_kale	#9e2226	6
B032_TO1000_DH	TO1000_DH	Gai_Lan	#4bd6fd	7
H024_X16KG088_GoldenChinesekale	x16KG088_GoldenChinesekale	Gai_Lan	#4bd6fd	7
H080_Beira_Johnnys	Beira_Johnnys	Tronchuda	#3f436d	8
H047_Port_Tronc_Beira	Port_Tronc_Beira	Tronchuda	#3f436d	8
H011_Kossak_F1	Kossak_F1	Kohlrabi	#b8deb7	9
H051_White_Quickstar_Kohlrabi	White_Quickstar_Kohlrabi	Kohlrabi	#b8deb7	9
H008_Kolibri	Kolibri	Kohlrabi	#b8deb7	9
H012_AzureStar	AzureStar	Kohlrabi	#b8deb7	9
B138_Broccolo_No_1_OP	Broccolo_No_1_OP	Broccoli_01	#1b511d	10
B116_Broccolo_OP	Broccolo_OP	Broccoli_01	#1b511d	10
B212_Cavolo_Broccolo_Spigariello_OP	Cavolo_Broccolo_Spigariello_OP	Spigariello	#46f33e	11
B211_Gianfranco_Fuscello_Spiagariello_Lisco_OP	Gianfranco_Fuscello_Spiagariello_Lisco_OP	Spigariello	#46f33e	11
B094_Cavolo_Broccolo_Di_Sarno_OP	Cavolo_Broccolo_Di_Sarno_OP	Spigariello	#46f33e	11
B127_Ramoso_Calabrese_Precoce_OP.1	Ramoso_Calabrese_Precoce_OP	Spigariello	#46f33e	11
B111_Natalino_Di_Napoli_OP	Natalino_Di_Napoli_OP	Spigariello	#46f33e	11
B128_Broccolo_Natalino_Di_Sarno_OP	Broccolo_Natalino_Di_Sarno_OP	Spigariello	#46f33e	11
B134_Cavolo_Sparacello_OP	Cavolo_Sparacello_OP	Sicilian_broccoli_01	#76295f	12
B106_Picolini_Di_Palermo_OP	Picolini_Di_Palermo_OP	Sicilian_broccoli_01	#76295f	12
B114_Cavolo_Broccolo_OP	Cavolo_Broccolo_OP	Sicilian_broccoli_01	#76295f	12
B101_Cavolo_Broccolo_Invernale_Type_A_OP	Cavolo_Broccolo_Invernale_Type_A_OP	Sicilian_broccoli_01	#76295f	12
B119_Broccolo_Natalino_OP	Broccolo_Natalino_OP	Sicilian_broccoli_01	#76295f	12
B118_Broccolo_D_estate_OP	Broccolo_D_estate_OP	Sicilian_broccoli_01	#76295f	12
B120_Broccolo_Apriloto_OP	Broccolo_Apriloto_OP	Sicilian_broccoli_01	#76295f	12
B135_N_tagliu_N_tagghiv_Pilotu_OP	N_tagliu_N_tagghiv_Pilotu_OP	Sicilian_broccoli_01	#76295f	12
B104_Cavolo_Zolfino_OP	Cavolo_Zolfino_OP	Romanesco_01	#f597fa	13
B210_Cavolfiore_Romanesco_Precoce_OP	Cavolfiore_Romanesco_Precoce_OP	Romanesco_01	#f597fa	13
B054_De_Cicco_OP	De_Cicco_OP	Cauliflower_01	#5310f0	14
B258_Shining_Jean	Shining_Jean	Cauliflower_01	#5310f0	15
B016_Green_Harmony_F1	Green_Harmony_F1	Cauliflower_01	#5310f0	15
B187_Clara_F1	Clara_F1	Cauliflower_01	#5310f0	15
H045_Califlower_White_Amazing_OP	Califlower_White_Amazing_OP	Cauliflower_01	#5310f0	15
B229_CA25_Nedcha_DJ7032_DH	CA25_Nedcha_DJ7032_DH	Cauliflower_01	#5310f0	15
B183_White_Coral_F1	White_Coral_F1	Cauliflower_01	#5310f0	15
B055_Costal_OP	Costal_OP	Cauliflower_01	#5310f0	15
B216_Burgundy_F1	Burgundy_F1	Sicilian_cauliflower_01	#e9cbe7	16
B121_Maialora_OP	Maialora_OP	Sicilian_cauliflower_01	#e9cbe7	16
B117_Natalisa_Ciurietti_OP	Natalisa_Ciurietti_OP	Sicilian_cauliflower_01	#e9cbe7	16
B139_Di_Sicilia_Catanese_OP	Di_Sicilia_Catanese_OP	Sicilian_cauliflower_01	#e9cbe7	16
B113_Broccolo_Innorota_gennorota_OP	Broccolo_Innorota_gennorota_OP	Sicilian_cauliflower_01	#e9cbe7	16
B100_Cavolo_Broccolo_Marzullo_OP	Cavolo_Broccolo_Marzullo_OP	Sicilian_cauliflower_01	#e9cbe7	16
B099_Cavolo_Broccolo_Frevarota_OP	Cavolo_Broccolo_Frevarota_OP	Sicilian_cauliflower_01	#e9cbe7	16
B098_Cavolo_Broccolo_Natalina_OP	Cavolo_Broccolo_Natalina_OP	Sicilian_cauliflower_01	#e9cbe7	16
