year,trial,geno,rep,sc,MT,FF,F50,MF50,HT,WD,BM,LT,HM,HI,HD,CL,BS,BR,BU,HC,HE,HS,HU,HR,OQ,FC,note.plot
1,0,B001,1,8,125,133,139,14,NA,39.37,319.3,5,41.1,12.8719072972127,20,13.6,1.08,5,5,4,4,4,3,4,3,0,slow end plot
1,0,B001,2,5,89,99,106,17,46.736,62.23,722.1,9,124.4,17.2275308129068,46.7,17.3,1.36,2,4,5,3,3,2,3,2,0,"extreme lats, irregular heading and flowering "
1,1,B001,1,6,127,141,144,17,49.276,74.93,878.3,6,153,17.4200159398839,68,37.1,1.36,4,3,4,3,3,3,3,3,0,
1,1,B001,2,11,127,133,145,18,47.752,71.882,1015.5,13,135.6,13.3530280649926,55.1,31.7,1.44,4,4,5,3,3,3,3,3,0,extreme lats
1,1,B001,3,9,131,147,153,22,53.848,67.31,1178.4,7,193.3,16.4035980991174,90.9,41.3,1.72,4,2,5,4,3,3,4,3,0,extreme lats
1,2,B001,1,8,141,NA,NA,NA,48.768,61.976,640.6,5,84.1,13.1283172026225,54.6,24.5,1.06,5,4,5,4,3,4,5,4,NA,stunted front of plot. head maturity may be off
1,2,B001,2,11,116,133,144,28,42.418,69.088,694.8,5,170.3,24.51065054692,87.2,28,1.22,5,4,5,3,3,4,4,4,0,
1,2,B001,3,10,112,140,146,34,46.736,91.186,867.3,7,171.3,19.7509512279488,77,29.1,1.32,5,4,5,3,3,4,4,4,0,extreme lats
1,0,B003,1,5,81,105,121,40,35.052,56.642,474.4,5,79.5,16.7580101180438,40.9,16.6,1.12,4,4,3,3,3,2,4,3,0,
1,0,B003,2,4,80,101,104,24,48.006,67.056,622.6,4,87.9,14.1182139415355,60.4,32,1.2,5,3,3,4,3,3,4,3,0,
1,1,B003,1,10,109,128,131,22,34.036,74.676,626.1,10,90.7,14.486503753394,44.9,24.7,1.68,5,3,4,3,3,3,4,4,0,
1,1,B003,2,11,105,122,130,25,40.64,68.834,663.7,9,100.4,15.1273165586862,61.5,30.1,1.36,5,4,4,3,3,3,4,4,0,
1,1,B003,3,10,110,126,130,20,40.386,78.486,941.8,7,140,14.8651518369081,69.2,27.1,1.42,4,5,5,3,4,4,4,4,0,
1,2,B003,1,8,113,139,144,31,39.116,74.168,589.2,7,96,16.2932790224033,63.6,31.1,1.52,5,5,3,3,3,4,5,4,0,
1,2,B003,2,8,102,117,125,23,41.91,72.39,725.5,8,138.8,19.131633356306,83.5,42,1.16,5,4,5,4,2,4,4,4,0,
1,2,B003,3,8,97,105,114,17,43.942,74.422,490.9,4,77.3,15.7465878997759,56,33.5,1.36,5,4,4,3,2,2,4,3,0,
1,0,B004,1,4,94,110,113,19,46.736,67.564,745.8,2,128,17.1627782247251,63.5,31.2,1.44,5,4,4,4,4,4,5,4,0,
1,0,B004,2,4,91,109,113,22,45.466,78.74,974.7,0,171,17.5438596491228,89.1,39.9,1.42,5,5,5,3,3,3,5,4,0,
1,1,B004,1,6,120,139,143,23,42.418,70.612,426.1,1,103.3,24.243135414222,70.7,39.7,1.42,5,3,4,3,2,2,3,3,0,
1,1,B004,2,11,136,150,155,19,41.91,76.2,926.4,2,201.8,21.7832469775475,96.8,37.2,1.24,5,5,5,4,4,4,4,4,0,slower flowering 
1,1,B004,3,9,135,135,165,30,34.29,75.438,620.2,0,120.9,19.4937117059013,66.2,25.5,1.18,5,5,5,4,4,4,5,4,0,
1,2,B004,1,7,123,148,155,32,41.402,76.962,673.7,3,133.5,19.8159418138637,77.3,27.8,1.46,5,4,4,3,3,4,4,4,0,
1,2,B004,2,8,108,146,150,42,43.688,97.536,854.6,0,151.3,17.7041890943131,72.5,37.2,1.34,5,5,5,3,3,4,5,4,0,
1,2,B004,3,8,112,148,154,42,46.482,100.33,1261.3,0,287.9,22.825656069135,132.4,72.1,1.5,5,5,5,3,3,5,5,5,0,
1,0,B005,1,5,95,107,110,15,45.466,44.45,355.6,0,90.8,25.5343082114736,53.8,18.5,1.28,4,4,5,4,3,4,4,4,0,
1,0,B005,2,3,77,NA,NA,NA,46.228,39.37,292,0,77.9,26.6780821917808,67.8,24.3,1.36,5,3,4,4,3,3,4,4,NA,no plants for flowering 
1,0,B006,1,4,82,126,129,47,37.084,45.212,465,0,113,24.3010752688172,56.2,26,1.06,3,3,5,3,2,2,3,2,0,
1,0,B006,2,2,91,115,121,30,35.052,50.546,350.5,0,87,24.8216833095578,57,22.9,1.52,2,1,5,3,2,1,2,1,0,
1,0,B011,1,5,75,98,100,25,43.688,78.232,651.5,6,124,19.0330007674597,79.2,37.2,1.76,5,3,5,3,3,4,4,3,0,
1,0,B011,2,1,73,NA,NA,NA,49.53,82.804,1195.6,7,141.7,11.8517898962864,64.5,36.8,1.62,5,3,5,4,2,4,3,2,NA,
1,1,B011,1,11,110,127,131,21,45.212,76.962,744.2,0,121.5,16.3262563826928,66.8,20,1.7,5,4,3,4,3,3,4,4,0,
1,1,B011,2,11,108,129,133,25,55.626,55.88,408.6,1,92.8,22.7116984826236,83.2,35.1,1.3,5,3,5,4,2,3,3,3,0,
1,1,B011,3,7,114,127,137,23,48.768,69.596,496,0,78.3,15.7862903225806,61.9,30,1.36,4,2,4,4,2,3,4,3,0,
1,2,B011,1,8,96,115,119,23,48.26,69.596,582.7,1,120.8,20.7310794576969,71.4,32.8,1.6,5,3,4,4,2,3,4,3,0,slow heading? 
1,2,B011,2,8,96,113,115,19,51.308,75.692,655.8,0,115.9,17.6730710582495,74.5,29.1,1.8,4,2,4,3,3,4,3,3,0,
1,2,B011,3,9,103,116,120,17,48.26,79.248,744.8,3,113.8,15.2792696025779,66,30.9,1.64,5,4,5,3,2,3,4,3,0,
1,0,B013,1,6,72,74,78,6,39.624,82.296,750.3,0,150,19.9920031987205,71.5,35.7,1.5,5,4,4,3,3,4,5,4,0,
1,0,B013,2,4,68,91,96,28,32.512,75.692,898.2,2,211.8,23.5804943219773,111.7,52.3,1.82,5,3,5,3,3,3,4,3,0,
1,1,B013,1,10,105,129,131,26,39.37,43.942,576.5,0,137,23.7640936686904,71.9,38.1,1.48,5,3,5,3,3,3,4,3,0,
1,1,B013,2,10,109,127,131,22,46.228,52.578,425,2,112,26.3529411764706,83.8,39.9,1,5,2,4,3,2,3,3,3,0,
1,1,B013,3,8,106,125,127,21,31.242,81.788,661.6,3,125.9,19.0296251511487,57.2,36.1,1.72,4,2,4,2,2,3,3,3,0,
1,2,B013,1,10,100,111,115,15,38.608,75.946,428.4,0,114.1,26.6339869281046,75,33.3,1.12,5,4,4,3,3,4,4,4,0,
1,2,B013,2,11,96,108,113,17,37.846,83.566,662.9,0,205.3,30.969980389199,93.2,52.8,1.82,5,3,4,2,3,3,5,4,0,
1,2,B013,3,9,96,106,109,13,38.608,74.676,494.8,0,141.6,28.6176232821342,79.7,42.9,1.62,5,4,4,3,4,5,5,4,0,
1,0,B014,1,5,72,74,76,4,40.894,69.596,653.2,6,145.6,22.2902633190447,73.6,36.5,1.74,5,4,5,3,3,3,4,4,0,
1,0,B014,2,4,74,101,103,29,41.402,78.994,772.7,7,146.8,18.9983175876796,81.3,35.2,1.4,3,3,5,3,3,4,3,4,0,
1,1,B014,1,10,102,120,125,23,40.386,75.692,590,0,150.8,25.5593220338983,93,42.7,1.6,4,4,5,3,3,4,4,4,0,
1,1,B014,2,11,101,114,124,23,37.338,66.802,564.4,0,134.5,23.830616583983,76,37.7,1.48,4,2,5,3,2,3,3,3,0,
1,1,B014,3,12,108,128,131,23,39.624,77.216,596.4,5,129.1,21.6465459423206,71.4,27.7,1.76,4,2,5,3,2,3,3,3,0,
1,2,B014,1,12,100,116,119,19,40.132,83.566,658.7,10,176.8,26.8407469257629,77,40,1.36,2,4,4,3,3,4,5,4,0,
1,2,B014,2,12,97,113,119,22,40.132,77.724,532.6,10,139.7,26.2298159969959,69.6,35,1.44,5,3,4,3,2,3,4,3,0,
1,2,B014,3,12,95,114,116,21,39.37,72.39,581.9,5,131.1,22.5296442687747,57.7,31.4,1.84,5,3,4,2,3,3,4,3,0,
1,0,B015,2,4,95,112,115,20,55.626,64.008,935.5,17,129.4,13.8321753073223,72,37.7,2.28,4,1,4,4,1,1,2,1,0,extreme lats
1,1,B015,1,11,123,133,137,14,52.832,72.898,818.9,9,123.8,15.1178410062279,79,44,1.66,4,1,5,4,2,1,1,1,0,
1,1,B015,2,10,130,147,161,31,49.53,67.31,927.8,11,108.4,11.6835524897607,73.4,34.7,1.38,4,2,4,3,1,1,1,1,0,extreme lats
1,1,B015,3,11,138,147,169,31,56.896,60.198,659.5,19,128.4,19.4692949203942,74.3,41.5,1.12,5,4,5,4,2,2,3,2,0,"extreme lats, irregular flowering and heading "
1,2,B015,1,8,112,128,140,28,43.434,85.852,1145.7,10,183.8,16.0425940473073,79.5,47.1,1.34,5,4,5,3,4,3,4,3,0,extreme lats
1,2,B015,2,12,112,131,140,28,44.45,70.866,890.3,11,134.4,15.0960350443671,81.1,41.9,1.2,5,4,5,4,2,3,3,3,0,extreme lats
1,2,B015,3,11,117,131,142,25,55.118,72.136,703.7,8,138,19.6106295296291,89.3,45.4,1.62,5,2,5,4,2,2,3,2,0,
1,0,B016,2,4,78,29,NA,NA,41.656,62.23,407.3,3,121,29.7078320648171,73.2,28.3,1.624,4,2,3,3,2,2,1,1,0,some flowered early 2/5
1,1,B016,1,6,72,52,74,2,21.082,44.196,184.3,4,NA,NA,63,34.7,NA,5,3,3,3,3,3,NA,1,0,irregular flowering.  
1,1,B016,2,7,72,60,75,3,NA,NA,168,4,NA,NA,99.7,61.6,0.98,5,3,3,3,2,3,NA,1,0,early irregular floweribg
1,1,B016,3,12,72,60,72,NA,19.05,35.052,62.1,1,NA,NA,43.4,23.9,1.94,5,2,3,3,3,2,NA,1,0,early irregular flowering 
1,2,B016,1,3,68,99,105,37,26.162,45.72,209,0,87.5,41.866028708134,76.5,31.8,NA,2,1,3,2,2,1,1,1,0,
1,2,B016,2,4,81,105,105,24,35.052,40.894,428.6,0,90.9,21.2085860942604,74.7,41.4,1.3,5,4,4,3,3,2,2,2,0,
1,2,B016,3,3,87,99,107,20,31.242,65.278,473.1,0,130.1,27.4994715704925,76.3,37.6,0.88,NA,NA,5,2,2,2,1,1,0,
