treat	txMinNOMIS	SMinAF	MAXHET
1	0.375	0.0625	0.125
2	0.5	0.0625	0.125
3	0.625	0.0625	0.125
4	0.375	0.125	0.125
5	0.5	0.125	0.125
6	0.625	0.125	0.125
7	0.375	0.25	0.125
8	0.5	0.25	0.125
9	0.625	0.25	0.125
10	0.375	0.0625	0.25
11	0.5	0.0625	0.25
12	0.625	0.0625	0.25
13	0.375	0.125	0.25
14	0.5	0.125	0.25
15	0.625	0.125	0.25
16	0.375	0.25	0.25
17	0.5	0.25	0.25
18	0.625	0.25	0.25
19	0.375	0.0625	0.375
20	0.5	0.0625	0.375
21	0.625	0.0625	0.375
22	0.375	0.125	0.375
23	0.5	0.125	0.375
24	0.625	0.125	0.375
25	0.375	0.25	0.375
26	0.5	0.25	0.375
27	0.625	0.25	0.375
