Trait	Eigenvector1	Eigenvector2	Eigenvector3	Eigenvector4	Eigenvector5
SC1_9168	0.0054	-3.5234E-3	0.00184	-2.8748E-3	6.4211E-4
SC1_29706	0.00391	-3.8327E-3	0.00178	-1.3814E-3	-1.9991E-4
SC1_38469	0.00676	-2.114E-3	0.00363	-1.0177E-2	-2.459E-3
SC1_38489	0.00676	-2.114E-3	0.00363	-1.0177E-2	-2.459E-3
SC1_50312	-4.2813E-3	5.6441E-4	-4.7371E-3	0.00512	9.877E-4
SC1_59376	-2.3326E-3	0.00132	-6.0956E-3	9.4166E-4	-4.9452E-4
SC1_105204	0.00501	-3.0719E-3	0.00154	-1.7677E-3	-1.1505E-3
SC1_134806	-4.8551E-3	-2.7389E-3	-4.4079E-4	-2.7055E-4	0.00223
SC1_136332	-2.6855E-3	7.0926E-4	-2.5317E-3	0.00398	-5.5885E-4
SC1_138885	0.00497	-3.5521E-3	0.00242	-9.5237E-4	7.4361E-4
SC1_155880	-3.4589E-3	0.00325	0.00165	8.8711E-5	0.00138
SC1_185168	0.00802	-1.9681E-3	8.5311E-5	0.00504	-4.6668E-3
SC1_186344	0.00171	-3.9228E-3	-6.8515E-4	0.00158	-2.2005E-3
SC1_186650	-4.6686E-3	0.00371	-1.821E-3	-4.6265E-4	0.00185
SC1_192581	0.01054	-6.4928E-3	0.00154	0.00915	0.0033
SC1_193154	-3.193E-3	0.0049	0.00209	-9.278E-3	-2.0571E-3
SC1_193240	0.01183	-6.3419E-3	-1.2116E-4	0.0089	0.00267
SC1_211436	0.0054	-8.7313E-3	-2.883E-3	-2.095E-3	0.00594
SC1_211439	0.0054	-8.7313E-3	-2.883E-3	-2.095E-3	0.00594
SC1_211452	0.0054	-8.7313E-3	-2.883E-3	-2.095E-3	0.00594
SC1_211518	0.00613	-8.5069E-3	-1.8241E-3	-1.6358E-3	0.00611
SC1_220400	0.00286	-4.836E-3	-2.1785E-3	6.0446E-4	0.00191
SC1_220412	0.00286	-4.836E-3	-2.1785E-3	6.0446E-4	0.00191
SC1_226156	0.00198	-4.2112E-3	-3.2935E-3	-1.7725E-4	9.2377E-4
SC1_228741	0.00262	-6.0409E-3	-2.1108E-3	2.5214E-4	2.0237E-4
SC1_237700	0.00609	-1.1065E-2	0.00144	-6.1428E-3	2.5572E-4
SC1_237709	0.00485	-7.8617E-3	0.0011	-4.8365E-3	-1.698E-4
SC1_238942	0.00469	-1.2232E-2	-1.1243E-3	-5.1865E-4	0.0024
SC1_238943	0.00423	-1.2598E-2	-1.3249E-3	-2.1795E-3	0.00295
SC1_239032	0.00574	-1.0109E-2	-1.1347E-3	-7.8922E-3	4.1631E-4
SC1_284480	6.017E-4	-8.4059E-3	-2.2525E-3	-2.9303E-3	-4.169E-5
SC1_290194	-7.688E-4	0.00515	0.00265	0.00579	-4.5178E-3
SC1_301282	-7.5418E-4	-3.9146E-3	-1.0974E-3	-1.27E-3	-2.0877E-3
SC1_331125	-1.8485E-4	-3.3388E-3	0.00123	8.4315E-4	0.00124
SC1_338662	-5.1186E-4	-4.5031E-3	-2.2477E-3	0.0011	-2.2721E-3
SC1_340933	0.01169	-7.2603E-3	6.3732E-4	-2.6865E-3	-1.8229E-3
SC1_340934	0.01169	-7.2603E-3	6.3732E-4	-2.6865E-3	-1.8229E-3
SC1_345843	0.00101	-4.1519E-3	-1.528E-3	0.0041	-4.2832E-3
SC1_356685	0.00414	-1.3755E-3	4.4889E-4	0.00957	-3.9453E-3
SC1_456938	0.00212	-7.4569E-3	-2.7127E-3	5.264E-4	8.6202E-4
SC1_457103	0.00421	-8.4851E-3	2.2564E-4	5.1446E-4	0.00239
SC1_457504	0.00454	-5.6634E-3	-6.2733E-4	-6.4321E-3	-5.9164E-4
SC1_467057	0.00269	-1.0538E-2	0.00157	-2.4893E-3	0.00134
SC1_467059	-1.0948E-2	0.0069	0.00344	9.0468E-4	0.0091
SC1_488732	0.00856	-4.45E-3	0.00119	0.00142	-7.0245E-3
SC1_488776	0.0114	-3.766E-3	0.00168	3.5625E-4	-6.8839E-3
SC1_488779	0.0114	-3.766E-3	0.00168	3.5625E-4	-6.8839E-3
SC1_488782	0.0114	-3.766E-3	0.00168	3.5625E-4	-6.8839E-3
SC1_490555	0.00892	-6.6656E-3	0.00125	-7.103E-3	-8.4289E-3
SC1_510044	-5.7698E-3	0.005	-3.3857E-3	-1.8721E-3	0.00139
SC1_510050	-5.7698E-3	0.005	-3.3857E-3	-1.8721E-3	0.00139
SC1_514031	0.0015	-1.2203E-3	0.00682	0.00752	0.00768
SC1_534051	0.00675	0.00246	-1.7559E-3	-4.2715E-3	0.00627
SC1_544849	-6.2414E-4	-1.206E-3	0.00332	0.00575	-7.3874E-4
SC1_646940	-3.2534E-3	0.00118	-4.8601E-3	-3.2126E-3	-8.2828E-3
SC1_646958	-3.2534E-3	0.00118	-4.8601E-3	-3.2126E-3	-8.2828E-3
SC1_647021	0.00384	-6.2784E-3	-4.3038E-3	0.00681	0.00264
SC1_649233	0.00128	0.004	0.00753	0.00299	0.00277
SC1_649512	0.00419	0.00208	4.5467E-4	-1.7212E-3	6.1339E-4
SC1_649530	0.00509	0.00248	9.0883E-4	3.1911E-4	5.7774E-4
SC1_649548	0.00419	0.00208	4.5467E-4	-1.7212E-3	6.1339E-4
SC1_649557	0.00419	0.00208	4.5467E-4	-1.7212E-3	6.1339E-4
SC1_649878	0.00555	0.00145	-2.525E-4	0.00105	0.00242
SC1_649889	0.00556	0.00154	-3.8989E-4	9.1215E-4	0.0026
SC1_650087	-2.2084E-3	-3.8613E-4	0.00106	8.2861E-4	3.0436E-4
SC1_652998	-1.5197E-3	1.1661E-4	-3.3687E-3	-9.7393E-4	-7.8873E-4
SC1_653022	-1.5197E-3	1.1661E-4	-3.3687E-3	-9.7393E-4	-7.8873E-4
